الشركة,المدينة,الوظيفة,LinkedIn ID,إيميل التوظيف,الموقع,الحالة
Confidential Jobs,الرياض,Administrative Assistant,4412898797,,,تم التقديم
Swisslinx Middle East,جدة,Office Manager / Executive Assistant,4413304240,jobs@swisslinx.com,https://swisslinx.com,تم التقديم
Lichi,جدة,Store Manager Assistant,4413684001,,https://lichi.com,تم التقديم
TCS,السعودية,Admin - Facility in Charge,4415796853,careers@tcs.com,https://tcs.com,تم التقديم
SETCCO,السعودية,HR Specialist,4414824273,,,تم التقديم
Al Khozama Investment,السعودية,HR Operation & Recruitment Trainee Tamheer,4418482961,hr@alkhozama.com,https://alkhozama.com,تم التقديم
Integral Hotel Supplies,السعودية,Supply Chain Manager,4416145417,,https://integralhotelsupplies.com,تم التقديم
DINGLI,السعودية,Sales Coordinator,4417070022,,https://dingli.com,تم التقديم
TalentHUB,السعودية,Procurement Coordinator,4410173119,jobs@talenthub.com,https://talenthub.com,تم التقديم
Middle East Supplies Company,السعودية,Cash Flow & Treasury Analyst,4414813499,,https://mesc.com.sa,تم التقديم
Hodaithy International Group,السعودية,Secretary,4414811121,,https://hodaithy.com,تم التقديم
Hyoon Security Systems,السعودية,General Accountant,4414805684,,https://hyoon.com.sa,تم التقديم
The Global Risks Forum,السعودية,Board Member National Council,4418627112,,https://globalrisksforum.org,تم التقديم
Mindrift,عن بعد,Freelance English Writer AI Trainer,4418624220,,https://mindrift.ai,تم التقديم
The Zero Agency,عن بعد,Freelance Arabic Translator,4417576194,,https://thezeroagency.com,تم التقديم
